platform	dbGapId
dbGaP	phs000677
dbGaP	phs000678
dbGaP	phs000679
dbGaP	phs000681
dbGaP	phs000682
dbGaP	phs000683
dbGaP	phs000684
dbGaP	phs000685
dbGaP	phs000686
dbGaP	phs000687
dbGaP	phs000689
dbGaP	phs000690
dbGaP	phs000691
dbGaP	phs000692
dbGaP	phs000694
dbGaP	phs000695
dbGaP	phs000696
dbGaP	phs000697
dbGaP	phs000698
dbGaP	phs000699
dbGaP	phs000700
dbGaP	phs000701
dbGaP	phs000702
dbGaP	phs000704
dbGaP	phs000705
dbGaP	phs000706
dbGaP	phs000707
dbGaP	phs000708
dbGaP	phs000709
dbGaP	phs000710
dbGaP	phs000711
dbGaP	phs000712
dbGaP	phs000713
dbGaP	phs000714
dbGaP	phs000715
dbGaP	phs000716
dbGaP	phs000717
dbGaP	phs000718
dbGaP	phs000719
dbGaP	phs000720
dbGaP	phs000721
dbGaP	phs000722
dbGaP	phs000723
dbGaP	phs000725
dbGaP	phs000726
dbGaP	phs000727
dbGaP	phs000728
dbGaP	phs000729
dbGaP	phs000730
dbGaP	phs000731
dbGaP	phs000732
dbGaP	phs000733
dbGaP	phs000734
dbGaP	phs000735
dbGaP	phs000737
dbGaP	phs000738
dbGaP	phs000739
dbGaP	phs000740
dbGaP	phs000741
dbGaP	phs000742
dbGaP	phs000743
dbGaP	phs000745
dbGaP	phs000746
dbGaP	phs000747
dbGaP	phs000750
dbGaP	phs000751
dbGaP	phs000752
dbGaP	phs000753
dbGaP	phs000754
dbGaP	phs000755
dbGaP	phs000756
dbGaP	phs000757
dbGaP	phs000759
dbGaP	phs000760
dbGaP	phs000761
dbGaP	phs000762
dbGaP	phs000763
dbGaP	phs000765
dbGaP	phs000766
dbGaP	phs000767
dbGaP	phs000768
dbGaP	phs000769
dbGaP	phs000770
dbGaP	phs000771
dbGaP	phs000772
dbGaP	phs000773
dbGaP	phs000774
dbGaP	phs000775
dbGaP	phs000776
dbGaP	phs000777
dbGaP	phs000778
dbGaP	phs000779
dbGaP	phs000780
dbGaP	phs000781
dbGaP	phs000782
dbGaP	phs000783
dbGaP	phs000785
dbGaP	phs000786
dbGaP	phs000787
dbGaP	phs000788
dbGaP	phs000789
dbGaP	phs000790
dbGaP	phs000791
dbGaP	phs000792
dbGaP	phs000793
dbGaP	phs000794
dbGaP	phs000795
dbGaP	phs000796
dbGaP	phs000797
dbGaP	phs000798
dbGaP	phs000799
dbGaP	phs000801
dbGaP	phs000802
dbGaP	phs000803
dbGaP	phs000804
dbGaP	phs000807
dbGaP	phs000809
dbGaP	phs000811
dbGaP	phs000812
dbGaP	phs000813
dbGaP	phs000815
dbGaP	phs000816
dbGaP	phs000817
dbGaP	phs000818
dbGaP	phs000819
dbGaP	phs000821
dbGaP	phs000822
dbGaP	phs000823
dbGaP	phs000824
dbGaP	phs000825
dbGaP	phs000826
dbGaP	phs000827
dbGaP	phs000828
dbGaP	phs000829
dbGaP	phs000830
dbGaP	phs000831
dbGaP	phs000832
dbGaP	phs000833
dbGaP	phs000834
dbGaP	phs000835
dbGaP	phs000836
dbGaP	phs000837
dbGaP	phs000838
dbGaP	phs000839
dbGaP	phs000840
dbGaP	phs000841
dbGaP	phs000842
dbGaP	phs000843
dbGaP	phs000844
dbGaP	phs000845
dbGaP	phs000846
dbGaP	phs000847
dbGaP	phs000848
dbGaP	phs000849
dbGaP	phs000850
dbGaP	phs000851
dbGaP	phs000852
dbGaP	phs000853
dbGaP	phs000854
dbGaP	phs000855
dbGaP	phs000856
dbGaP	phs000857
dbGaP	phs000858
dbGaP	phs000859
dbGaP	phs000861
dbGaP	phs000862
dbGaP	phs000863
dbGaP	phs000864
dbGaP	phs000866
dbGaP	phs000867
dbGaP	phs000868
dbGaP	phs000869
dbGaP	phs000870
dbGaP	phs000871
dbGaP	phs000872
dbGaP	phs000874
dbGaP	phs000876
dbGaP	phs000877
dbGaP	phs000878
dbGaP	phs000879
dbGaP	phs000880
dbGaP	phs000881
dbGaP	phs000882
dbGaP	phs000883
dbGaP	phs000884
dbGaP	phs000885
dbGaP	phs000888
dbGaP	phs000889
dbGaP	phs000890
dbGaP	phs000891
dbGaP	phs000893
dbGaP	phs000894
dbGaP	phs000895
dbGaP	phs000896
dbGaP	phs000897
dbGaP	phs000898
dbGaP	phs000899
dbGaP	phs000900
dbGaP	phs000901
dbGaP	phs000903
dbGaP	phs000904
dbGaP	phs000906
dbGaP	phs000907
dbGaP	phs000908
dbGaP	phs000909
dbGaP	phs000910
dbGaP	phs000911
dbGaP	phs000912
dbGaP	phs000913
dbGaP	phs000915
dbGaP	phs000916
dbGaP	phs000918
dbGaP	phs000919
dbGaP	phs000922
dbGaP	phs000923
dbGaP	phs000924
dbGaP	phs000926
dbGaP	phs000927
